episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
128,random_policy,pac,-260.0,500,1,200,0,128
129,random_policy,pac,-520.0,500,2,206,0,129
130,random_policy,pac,-740.0,280,4,210,0,130
131,random_policy,pac,-360.0,500,2,194,0,131
132,random_policy,pac,-170.0,500,1,191,0,132
133,random_policy,pac,-360.0,500,2,190,0,133
134,random_policy,pac,180.0,500,0,180,0,134
135,random_policy,pac,-20.0,500,0,196,0,135
136,random_policy,pac,50.0,500,0,193,0,136
137,random_policy,pac,-160.0,500,2,174,0,137
138,random_policy,pac,-260.0,500,2,180,0,138
139,random_policy,pac,-300.0,500,3,172,0,139
140,random_policy,pac,-632.0,492,4,178,0,140
141,random_policy,pac,-430.0,500,2,197,0,141
142,random_policy,pac,-510.0,500,2,205,0,142
143,random_policy,pac,-703.0,493,4,185,0,143
144,random_policy,pac,-697.0,457,4,188,0,144
145,random_policy,pac,-577.0,357,4,186,0,145
146,random_policy,pac,-230.0,500,1,197,0,146
147,random_policy,pac,-681.0,471,4,185,0,147
148,random_policy,pac,80.0,500,0,190,0,148
149,random_policy,pac,-70.0,500,0,201,0,149
150,random_policy,pac,-605.0,475,4,177,0,150
151,random_policy,pac,-711.0,451,4,190,0,151
152,random_policy,pac,-651.0,421,4,191,0,152
153,random_policy,pac,-560.0,500,3,190,0,153
154,random_policy,pac,-330.0,500,3,171,0,154
155,random_policy,pac,-390.0,500,2,197,0,155
156,random_policy,pac,210.0,500,0,173,0,156
157,random_policy,pac,-688.0,488,4,184,0,157
158,random_policy,pac,-300.0,500,2,188,0,158
159,random_policy,pac,-590.0,500,3,193,0,159
160,random_policy,pac,-810.0,460,4,199,0,160
161,random_policy,pac,-550.0,500,3,189,0,161
162,random_policy,pac,-400.0,500,2,198,0,162
163,random_policy,pac,-290.0,500,0,223,0,163
164,random_policy,pac,-620.0,500,3,196,0,164
165,random_policy,pac,-380.0,500,2,192,0,165
166,random_policy,pac,40.0,500,0,190,0,166
167,random_policy,pac,-758.0,238,4,216,0,167
168,random_policy,pac,-746.0,226,4,216,0,168
169,random_policy,pac,370.0,500,0,161,0,169
170,random_policy,pac,-440.0,500,3,178,0,170
171,random_policy,pac,-760.0,500,3,210,0,171
172,random_policy,pac,-130.0,500,0,207,0,172
173,random_policy,pac,-627.0,357,4,191,0,173
174,random_policy,pac,510.0,500,0,167,0,174
175,random_policy,pac,-350.0,500,2,193,0,175
176,random_policy,pac,-150.0,500,0,209,0,176
177,random_policy,pac,-100.0,500,1,184,0,177
178,random_policy,pac,-380.0,500,3,176,0,178
179,random_policy,pac,10.0,500,0,197,0,179
180,random_policy,pac,-635.0,395,4,188,0,180
181,random_policy,pac,-210.0,500,0,215,0,181
182,random_policy,pac,-260.0,500,0,220,0,182
183,random_policy,pac,140.0,500,0,184,0,183
184,random_policy,pac,-80.0,500,0,202,0,184
185,random_policy,pac,-532.0,302,4,187,0,185
186,random_policy,pac,-70.0,500,0,205,0,186
187,random_policy,pac,160.0,500,0,202,0,187
188,random_policy,pac,-330.0,500,2,191,0,188
189,random_policy,pac,150.0,500,0,183,0,189
190,random_policy,pac,-561.0,411,4,183,0,190
191,random_policy,pac,-280.0,500,1,206,0,191
192,random_policy,pac,-600.0,500,3,194,0,192
193,random_policy,pac,-130.0,500,0,207,0,193
194,random_policy,pac,-623.0,343,4,192,0,194
195,random_policy,pac,-140.0,500,1,188,0,195
196,random_policy,pac,70.0,500,0,191,0,196
197,random_policy,pac,-180.0,500,2,176,0,197
198,random_policy,pac,-714.0,474,4,192,0,198
199,random_policy,pac,-510.0,500,3,185,0,199
200,random_policy,pac,-820.0,380,4,208,0,200
201,random_policy,pac,-450.0,500,3,183,0,201
202,random_policy,pac,-50.0,500,1,179,0,202
203,random_policy,pac,0.0,500,0,198,0,203
204,random_policy,pac,-733.0,493,4,188,0,204
205,random_policy,pac,-390.0,500,3,177,0,205
206,random_policy,pac,-100.0,500,3,152,0,206
207,random_policy,pac,-350.0,500,2,193,0,207
208,random_policy,pac,-799.0,489,4,195,0,208
209,random_policy,pac,410.0,500,0,161,0,209
210,random_policy,pac,100.0,500,0,188,0,210
211,random_policy,pac,-140.0,500,1,188,0,211
212,random_policy,pac,-140.0,500,1,188,0,212
213,random_policy,pac,90.0,500,0,189,0,213
214,random_policy,pac,-499.0,239,4,190,0,214
215,random_policy,pac,-30.0,500,0,201,0,215
216,random_policy,pac,-510.0,500,3,189,0,216
217,random_policy,pac,-659.0,319,4,202,0,217
218,random_policy,pac,-659.0,449,4,185,0,218
219,random_policy,pac,-70.0,500,1,185,0,219
220,random_policy,pac,-619.0,389,4,187,0,220
221,random_policy,pac,-836.0,466,4,201,0,221
222,random_policy,pac,-70.0,500,1,181,0,222
223,random_policy,pac,-320.0,500,2,186,0,223
224,random_policy,pac,-498.0,278,4,190,0,224
225,random_policy,pac,-580.0,500,3,192,0,225
226,random_policy,pac,-725.0,485,4,192,0,226
227,random_policy,pac,-730.0,480,4,189,0,227
228,random_policy,pac,-420.0,500,2,200,0,228
229,random_policy,pac,-620.0,500,3,196,0,229
230,random_policy,pac,-640.0,500,3,198,0,230
231,random_policy,pac,-120.0,500,0,206,0,231
232,random_policy,pac,-10.0,500,1,179,0,232
233,random_policy,pac,-220.0,500,2,176,0,233
234,random_policy,pac,-520.0,500,3,186,0,234
235,random_policy,pac,-400.0,500,2,194,0,235
236,random_policy,pac,-280.0,500,3,166,0,236
237,random_policy,pac,-990.0,450,4,218,0,237
238,random_policy,pac,-833.0,413,4,206,0,238
239,random_policy,pac,-859.0,479,4,202,0,239
240,random_policy,pac,150.0,500,0,179,0,240
241,random_policy,pac,-746.0,376,4,201,0,241
242,random_policy,pac,-110.0,500,1,189,0,242
243,random_policy,pac,-755.0,425,4,201,0,243
244,random_policy,pac,-767.0,277,4,213,0,244
245,random_policy,pac,-608.0,408,4,184,0,245
246,random_policy,pac,-690.0,340,4,199,0,246
247,random_policy,pac,-150.0,500,2,173,0,247
248,random_policy,pac,-120.0,500,1,190,0,248
249,random_policy,pac,-50.0,500,0,199,0,249
250,random_policy,pac,-630.0,500,3,197,0,250
251,random_policy,pac,-410.0,500,3,175,0,251
252,random_policy,pac,-20.0,500,1,180,0,252
253,random_policy,pac,-200.0,500,3,158,0,253
254,random_policy,pac,-685.0,395,4,197,0,254
255,random_policy,pac,-800.0,370,4,207,0,255
256,random_policy,pac,-70.0,500,0,205,0,256
257,random_policy,pac,-929.0,439,4,213,0,257
258,random_policy,pac,180.0,500,0,180,0,258
259,random_policy,pac,150.0,500,0,183,0,259
260,random_policy,pac,-727.0,217,4,215,0,260
261,random_policy,pac,10.0,500,0,197,0,261
262,random_policy,pac,-700.0,490,4,185,0,262
263,random_policy,pac,180.0,500,0,180,0,263
264,random_policy,pac,-40.0,500,1,182,0,264
265,random_policy,pac,-60.0,500,1,180,0,265
266,random_policy,pac,350.0,500,0,163,0,266
267,random_policy,pac,-120.0,500,3,150,0,267
268,random_policy,pac,-450.0,500,2,199,0,268
269,random_policy,pac,-644.0,324,4,196,0,269
270,random_policy,pac,50.0,500,1,173,0,270
271,random_policy,pac,170.0,500,0,201,0,271
272,random_policy,pac,-20.0,500,0,200,0,272
273,random_policy,pac,-160.0,500,2,174,0,273
274,random_policy,pac,-644.0,494,4,183,0,274
275,random_policy,pac,-120.0,500,1,186,0,275
276,random_policy,pac,30.0,500,0,195,0,276
277,random_policy,pac,-560.0,500,2,210,0,277
278,random_policy,pac,80.0,500,0,190,0,278
279,random_policy,pac,-70.0,500,0,201,0,279
280,random_policy,pac,-90.0,500,1,187,0,280
281,random_policy,pac,-20.0,500,1,180,0,281
282,random_policy,pac,140.0,500,0,184,0,282
283,random_policy,pac,-658.0,318,4,198,0,283
284,random_policy,pac,-898.0,458,4,208,0,284
285,random_policy,pac,-702.0,392,4,195,0,285
286,random_policy,pac,-439.0,369,4,171,0,286
287,random_policy,pac,-783.0,423,4,200,0,287
288,random_policy,pac,-350.0,500,2,189,0,288
289,random_policy,pac,150.0,500,1,159,0,289
290,random_policy,pac,-574.0,344,4,191,0,290
291,random_policy,pac,-30.0,500,0,197,0,291
292,random_policy,pac,240.0,500,0,174,0,292
293,random_policy,pac,-765.0,425,4,198,0,293
294,random_policy,pac,-590.0,500,3,193,0,294
295,random_policy,pac,-439.0,489,4,167,0,295
296,random_policy,pac,190.0,500,0,175,0,296
297,random_policy,pac,80.0,500,0,186,0,297
298,random_policy,pac,-520.0,500,2,206,0,298
299,random_policy,pac,-60.0,500,0,200,0,299
300,random_policy,pac,-618.0,378,4,188,0,300
301,random_policy,pac,-801.0,361,4,208,0,301
302,random_policy,pac,-570.0,500,3,191,0,302
303,random_policy,pac,-560.0,500,3,190,0,303
304,random_policy,pac,-775.0,405,4,201,0,304
305,random_policy,pac,-390.0,500,3,177,0,305
306,random_policy,pac,-260.0,500,1,200,0,306
307,random_policy,pac,-590.0,500,3,193,0,307
308,random_policy,pac,-740.0,370,4,201,0,308
309,random_policy,pac,370.0,500,0,165,0,309
310,random_policy,pac,-746.0,216,4,217,0,310
