episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
120,greedy_policy,pac,570.0,500,0,145,0,120
121,greedy_policy,pac,1450.0,500,0,117,0,121
122,greedy_policy,pac,1140.0,500,0,108,0,122
123,greedy_policy,pac,1050.0,500,0,93,0,123
124,greedy_policy,pac,1260.0,500,0,76,0,124
125,greedy_policy,pac,1110.0,500,0,95,0,125
126,greedy_policy,pac,-190.0,500,0,213,0,126
127,greedy_policy,pac,1100.0,500,0,108,0,127
128,greedy_policy,pac,1420.0,500,0,100,0,128
129,greedy_policy,pac,880.0,500,0,110,0,129
130,greedy_policy,pac,1190.0,500,0,83,0,130
131,greedy_policy,pac,1160.0,500,0,106,0,131
132,greedy_policy,pac,590.0,500,1,143,0,132
133,greedy_policy,pac,970.0,500,0,105,0,133
134,greedy_policy,pac,440.0,500,1,134,0,134
135,greedy_policy,pac,730.0,500,0,145,0,135
136,greedy_policy,pac,610.0,500,0,137,0,136
137,greedy_policy,pac,820.0,500,0,120,0,137
138,greedy_policy,pac,630.0,500,0,131,0,138
139,greedy_policy,pac,860.0,500,0,116,0,139
140,greedy_policy,pac,590.0,500,0,143,0,140
141,greedy_policy,pac,1080.0,500,0,94,0,141
142,greedy_policy,pac,810.0,500,0,141,0,142
143,greedy_policy,pac,880.0,500,0,110,0,143
144,greedy_policy,pac,1030.0,500,0,119,0,144
145,greedy_policy,pac,920.0,500,0,110,0,145
146,greedy_policy,pac,1200.0,500,0,102,0,146
147,greedy_policy,pac,1340.0,500,0,92,0,147
148,greedy_policy,pac,690.0,500,0,133,0,148
149,greedy_policy,pac,250.0,500,0,169,0,149
150,greedy_policy,pac,1170.0,500,0,105,0,150
151,greedy_policy,pac,2170.0,500,0,53,0,151
152,greedy_policy,pac,670.0,500,0,135,0,152
153,greedy_policy,pac,1390.0,500,0,63,0,153
154,greedy_policy,pac,1810.0,500,0,45,0,154
155,greedy_policy,pac,450.0,500,0,173,0,155
156,greedy_policy,pac,800.0,500,0,122,0,156
157,greedy_policy,pac,870.0,500,1,115,0,157
158,greedy_policy,pac,300.0,500,0,164,0,158
159,greedy_policy,pac,550.0,500,0,143,0,159
160,greedy_policy,pac,630.0,500,0,135,0,160
161,greedy_policy,pac,710.0,500,0,127,0,161
162,greedy_policy,pac,1020.0,500,0,120,0,162
163,greedy_policy,pac,1700.0,500,0,56,0,163
164,greedy_policy,pac,880.0,500,0,114,0,164
165,greedy_policy,pac,840.0,500,1,118,0,165
166,greedy_policy,pac,1570.0,500,0,85,0,166
167,greedy_policy,pac,1800.0,500,0,86,0,167
168,greedy_policy,pac,1660.0,500,1,60,0,168
169,greedy_policy,pac,990.0,500,0,123,0,169
170,greedy_policy,pac,1130.0,500,0,89,0,170
171,greedy_policy,pac,1560.0,500,0,90,0,171
172,greedy_policy,pac,890.0,500,0,113,0,172
173,greedy_policy,pac,-50.0,500,0,199,0,173
174,greedy_policy,pac,1560.0,500,0,90,0,174
175,greedy_policy,pac,1150.0,500,0,127,0,175
176,greedy_policy,pac,830.0,500,0,139,0,176
177,greedy_policy,pac,1200.0,500,0,82,0,177
178,greedy_policy,pac,980.0,500,0,124,0,178
179,greedy_policy,pac,970.0,500,0,105,0,179
180,greedy_policy,pac,960.0,500,0,126,0,180
181,greedy_policy,pac,1000.0,500,0,142,0,181
182,greedy_policy,pac,600.0,500,0,142,0,182
183,greedy_policy,pac,1110.0,500,0,111,0,183
184,greedy_policy,pac,630.0,500,0,139,0,184
185,greedy_policy,pac,740.0,500,0,144,0,185
186,greedy_policy,pac,1360.0,500,0,86,0,186
187,greedy_policy,pac,1400.0,500,0,102,0,187
