episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
118,bfs_policy,pac,3065.0,335,1,0,1,118
119,bfs_policy,pac,3057.0,343,1,0,1,119
120,bfs_policy,pac,2645.0,355,3,0,1,120
121,bfs_policy,pac,3270.0,330,0,0,1,121
122,bfs_policy,pac,3438.0,362,0,0,1,122
123,bfs_policy,pac,3059.0,341,1,0,1,123
124,bfs_policy,pac,2872.0,328,2,0,1,124
125,bfs_policy,pac,3266.0,334,0,0,1,125
126,bfs_policy,pac,1123.0,267,4,37,0,126
127,bfs_policy,pac,3063.0,337,2,0,1,127
128,bfs_policy,pac,2871.0,329,2,0,1,128
129,bfs_policy,pac,1438.0,372,4,15,0,129
130,bfs_policy,pac,2969.0,431,2,0,1,130
131,bfs_policy,pac,3654.0,346,0,0,1,131
132,bfs_policy,pac,3255.0,345,1,0,1,132
133,bfs_policy,pac,3254.0,346,0,0,1,133
134,bfs_policy,pac,1142.0,308,4,31,0,134
135,bfs_policy,pac,3236.0,364,0,0,1,135
136,bfs_policy,pac,3656.0,344,0,0,1,136
137,bfs_policy,pac,3448.0,352,0,0,1,137
138,bfs_policy,pac,2640.0,360,3,0,1,138
139,bfs_policy,pac,3240.0,360,0,0,1,139
140,bfs_policy,pac,3420.0,380,0,0,1,140
141,bfs_policy,pac,2825.0,375,2,0,1,141
142,bfs_policy,pac,3466.0,334,0,0,1,142
143,bfs_policy,pac,3254.0,346,0,0,1,143
144,bfs_policy,pac,3256.0,344,0,0,1,144
145,bfs_policy,pac,3033.0,367,1,0,1,145
146,bfs_policy,pac,3075.0,325,2,0,1,146
147,bfs_policy,pac,3223.0,377,1,0,1,147
148,bfs_policy,pac,3236.0,364,1,0,1,148
149,bfs_policy,pac,2811.0,389,3,0,1,149
150,bfs_policy,pac,3228.0,372,0,0,1,150
151,bfs_policy,pac,3449.0,351,0,0,1,151
152,bfs_policy,pac,3438.0,362,1,0,1,152
153,bfs_policy,pac,3266.0,334,0,0,1,153
154,bfs_policy,pac,3262.0,338,0,0,1,154
